BEAM,B18,STORY6,B24
BEAM,B19,STORY6,B25
BEAM,B20,STORY6,B26
BEAM,B21,STORY6,B27
BEAM,B22,STORY6,B28
BEAM,B23,STORY6,B29
BEAM,B24,STORY6,B30
BEAM,B25,STORY6,B31
BEAM,B26,STORY6,B32
BEAM,B27,STORY6,B34
BEAM,B28,STORY6,B35
BEAM,B29,STORY6,B36
BEAM,B30,STORY6,B37
BEAM,B31,STORY6,B38
BEAM,B32,STORY6,B49
BEAM,B33,STORY6,B50
BEAM,B34,STORY6,B51
BEAM,B35,STORY6,B52
BEAM,B36,STORY6,B53
BEAM,B37,STORY6,B54
BEAM,B38,STORY6,B55
BEAM,B39,STORY6,B56
BEAM,B40,STORY6,B57
BEAM,B41,STORY6,B58
BEAM,B42,STORY6,B63
BEAM,B43,STORY6,B62
BEAM,B44,STORY6,B60
BEAM,B45,STORY6,B61
BEAM,B46,STORY6,B64
BEAM,B47,STORY6,B65
BEAM,B1,STORY7,B2
BEAM,B2,STORY7,B3
BEAM,B3,STORY7,B5
BEAM,B4,STORY7,B6
BEAM,B5,STORY7,B7
BEAM,B6,STORY7,B8
BEAM,B7,STORY7,B9
BEAM,B8,STORY7,B10
BEAM,B9,STORY7,B11
BEAM,B10,STORY7,B12
BEAM,B11,STORY7,B13
BEAM,B12,STORY7,B14
BEAM,B13,STORY7,B15
BEAM,B14,STORY7,B19
BEAM,B15,STORY7,B20
BEAM,B16,STORY7,B21
BEAM,B17,STORY7,B22
BEAM,B18,STORY7,B24
BEAM,B19,STORY7,B25
BEAM,B20,STORY7,B26
BEAM,B21,STORY7,B27
BEAM,B22,STORY7,B28
BEAM,B23,STORY7,B29
BEAM,B24,STORY7,B30
BEAM,B25,STORY7,B31
BEAM,B26,STORY7,B32
BEAM,B27,STORY7,B34
BEAM,B28,STORY7,B35
BEAM,B29,STORY7,B36
BEAM,B30,STORY7,B37
BEAM,B31,STORY7,B38
BEAM,B32,STORY7,B49
BEAM,B33,STORY7,B50
BEAM,B34,STORY7,B51
BEAM,B35,STORY7,B52
BEAM,B36,STORY7,B53
BEAM,B37,STORY7,B54
BEAM,B38,STORY7,B55
BEAM,B39,STORY7,B56
BEAM,B40,STORY7,B57
BEAM,B41,STORY7,B58
BEAM,B42,STORY7,B63
BEAM,B43,STORY7,B62
BEAM,B44,STORY7,B60
BEAM,B45,STORY7,B61
BEAM,B46,STORY7,B64
BEAM,B47,STORY7,B65
BEAM,B1,STORY8,B2
BEAM,B2,STORY8,B3
BEAM,B3,STORY8,B5
BEAM,B4,STORY8,B6
BEAM,B5,STORY8,B7
BEAM,B6,STORY8,B8
BEAM,B7,STORY8,B9
BEAM,B8,STORY8,B10
BEAM,B9,STORY8,B11
BEAM,B10,STORY8,B12
BEAM,B11,STORY8,B13
BEAM,B12,STORY8,B14
BEAM,B13,STORY8,B15
BEAM,B14,STORY8,B19
BEAM,B15,STORY8,B20
BEAM,B16,STORY8,B21
BEAM,B17,STORY8,B22
BEAM,B18,STORY8,B24
BEAM,B19,STORY8,B25
BEAM,B20,STORY8,B26
BEAM,B21,STORY8,B27
BEAM,B22,STORY8,B28
BEAM,B23,STORY8,B29
BEAM,B24,STORY8,B30
BEAM,B25,STORY8,B31
BEAM,B26,STORY8,B32
BEAM,B27,STORY8,B34
BEAM,B28,STORY8,B35
BEAM,B29,STORY8,B36
